127.0.0.1 - - [27/Jun/2021:22:13:13 -0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Jun/2021:22:13:17 -0700] "GET /Template1/index.jsp HTTP/1.1" 200 67319
0:0:0:0:0:0:0:1 - - [27/Jun/2021:22:13:17 -0700] "GET /Template1/css/bootstrap.css HTTP/1.1" 200 165667
0:0:0:0:0:0:0:1 - - [27/Jun/2021:22:13:17 -0700] "GET /Template1/css/magnific-popup.min.css HTTP/1.1" 200 6138
0:0:0:0:0:0:0:1 - - [27/Jun/2021:22:13:17 -0700] "GET /Template1/css/jquery.fancybox.min.css HTTP/1.1" 200 13746
0:0:0:0:0:0:0:1 - - [27/Jun/2021:22:13:17 -0700] "GET /Template1/css/font-awesome.css HTTP/1.1" 200 41747
0:0:0:0:0:0:0:1 - - [27/Jun/2021:22:13:17 -0700] "GET /Template1/css/themify-icons.css HTTP/1.1" 200 16403
0:0:0:0:0:0:0:1 - - [27/Jun/2021:22:13:17 -0700] "GET /Template1/css/niceselect.css HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [27/Jun/2021:22:13:17 -0700] "GET /Template1/css/animate.css HTTP/1.1" 200 78576
0:0:0:0:0:0:0:1 - - [27/Jun/2021:22:13:17 -0700] "GET /Template1/css/flex-slider.min.css HTTP/1.1" 200 6829
0:0:0:0:0:0:0:1 - - [27/Jun/2021:22:13:17 -0700] "GET /Template1/css/owl-carousel.css HTTP/1.1" 200 6122
0:0:0:0:0:0:0:1 - - [27/Jun/2021:22:13:17 -0700] "GET /Template1/css/slicknav.min.css HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [27/Jun/2021:22:13:18 -0700] "GET /Template1/style.css HTTP/1.1" 200 99886
0:0:0:0:0:0:0:1 - - [27/Jun/2021:22:13:18 -0700] "GET /Template1/css/reset.css HTTP/1.1" 200 36950
0:0:0:0:0:0:0:1 - - [27/Jun/2021:22:13:18 -0700] "GET /Template1/js/jquery.min.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [27/Jun/2021:22:13:18 -0700] "GET /Template1/css/responsive.css HTTP/1.1" 200 31116
0:0:0:0:0:0:0:1 - - [27/Jun/2021:22:13:18 -0700] "GET /Template1/js/jquery-migrate-3.0.0.js HTTP/1.1" 200 7084
0:0:0:0:0:0:0:1 - - [27/Jun/2021:22:13:18 -0700] "GET /Template1/js/jquery-ui.min.js HTTP/1.1" 200 30936
0:0:0:0:0:0:0:1 - - [27/Jun/2021:22:13:18 -0700] "GET /Template1/js/popper.min.js HTTP/1.1" 200 19241
