127.0.0.1 - - [28/Jun/2021:20:49:58 -0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:50:12 -0700] "GET /ManyToMany/Show.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:50:13 -0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:01:22 -0700] "GET /ManyToMany/Show.jsp HTTP/1.1" 200 2621
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:01:52 -0700] "GET /ManyToMany/Show.jsp HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:02:35 -0700] "GET /ManyToMany/Show.jsp HTTP/1.1" 500 3046
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:03:27 -0700] "GET /ManyToMany/Show.jsp HTTP/1.1" 200 2606
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:07:25 -0700] "GET /ManyToMany/Show.jsp HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:07:28 -0700] "GET /ManyToMany/Show.jsp HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:07:29 -0700] "GET /ManyToMany/Show.jsp HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:07:29 -0700] "GET /ManyToMany/Show.jsp HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:45:03 -0700] "GET /ManyToMany/Show.jsp HTTP/1.1" 200 2698
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:49:15 -0700] "GET /ManyToMany/Show.jsp HTTP/1.1" 200 2621
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:52:50 -0700] "GET /ManyToMany/Show.jsp HTTP/1.1" 500 3007
0:0:0:0:0:0:0:1 - - [28/Jun/2021:21:56:32 -0700] "GET /ManyToMany/Show.jsp HTTP/1.1" 500 3236
