127.0.0.1 - - [25/Jun/2021:20:18:22 -0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:18:24 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:18:24 -0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:19:09 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:19:23 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:19:29 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:19:30 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:19:56 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:20:09 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:20:12 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:20:12 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:20:13 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:20:17 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:20:17 -0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:20:29 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:20:43 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:21:30 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:21:46 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:21:47 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:21:47 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:22:08 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:22:26 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:22:27 -0700] "GET /ManyToMany/Index.jsp HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [25/Jun/2021:20:22:29 -0700] "GET /ManyToMany/student.jsp HTTP/1.1" 404 1100
